"Url Path","Url Path"
"After Adding a Product Redirect to Firecheckout","After Adding a Product Redirect to Firecheckout"
"Page Layout","Page Layout"
"Form Styles","Form Styles"
"Hide Labels","Hide Labels"
"Additional Content","Additional Content"
"Above Firecheckout Form","Above Firecheckout Form"
"Below Firecheckout Form","Below Firecheckout Form"
"Below order summary","Below order summary"
"Default Method","Default Method"
"Default Method Code","Default Method Code"
"Use this field if you can't find the method you are looking for in the previous option","Use this field if you can't find the method you are looking for in the previous option"
"Hide methods if single method is available only","Hide methods if single method is available only"
"Payment Settings","Payment Settings"
"Horizontal (Label aside of the field)","Horizontal (Label aside of the field)"
"Basic (Same as horizontal, except label above the field)","Basic (Same as horizontal, except label above the field)"
"Compact (Multiple fields per row)","Compact (Multiple fields per row)"
"1 Column (Multistep Wizard)","1 Column (Multistep Wizard)"
"1 Column (Expanded)","1 Column (Expanded)"
"2 Columns (Wide Payment and Shipping sections)","2 Columns (Wide Payment and Shipping sections)"
"2 Columns (Place Payment and Shipping sections side by side)","2 Columns (Place Payment and Shipping sections side by side)"
"3 Columns","3 Columns"
"Default Checkout Layout","Default Checkout Layout"
"Empty (No Header and Footer)","Empty (No Header and Footer)"
"Minimal (Header with store Logo only)","Minimal (Header with store Logo only)"
"Full","Full"
"Back to Store","Back to Store"
"Continue Shopping","Continue Shopping"
"Firecheckout Page Header Container","Firecheckout Page Header Container"
"Firecheckout Page Header","Firecheckout Page Header"
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"Cart","Cart"
"Use Magento Config (Sales > Checkout > Checkout Options)","Use Magento Config (Sales > Checkout > Checkout Options)"
"Payment Page (Above Payment Methods)","Payment Page (Above Payment Methods)"
"Shipping Page (Below Shipping Address)","Shipping Page (Below Shipping Address)"
"Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please.","Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please."
"Leave empty to add review without the title","Leave empty to add review without the title"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href="http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/" title="Firecheckout Docs">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","Use less syntax and variables to change styles!<br/>See the list of available variables: <a href="http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/" title="Firecheckout Docs">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes."
